,countries,leagues,home_teams,scores_for_home_teams,scores_for_away_teams,away_teams
146,,,U.A.N.L.- Tigres W,4,0,Cruz Azul W
147,,,Monterrey W,1,1,Club Tijuana W
148,NETHERLANDS,Reserve League,,,,
149,,,Jong Almere City,-,-,Jong FC Emmen
150,NORTH MACEDONIA,2. MFL,,,,
151,,,Besa 1976,-,-,Vardar
152,,,Bratstvo 07,-,-,Lok. Gradsko
153,,,Kadino Skopje,-,-,FK Korab
154,,,Kozuv Gevgelija,-,-,Kit Go Pehchevo
155,,,Ohrid,-,-,KF Gostivar
156,,,Osogovo,-,-,Pobeda
157,,,Sasa,-,-,Belasica
158,,,Sileks,-,-,Teteks
159,,,Sloga Vinica,-,-,Detonit Junior
160,,,Veleshta,-,-,Voska Sport
161,NORTHERN IRELAND,NIFL Premiership,,,,
162,,,Dungannon,-,-,Warrenpoint
163,PARAGUAY,Primera Division - Relegation,,,,
164,,,Ameliano,-,-,Sp. Luqueno
165,PORTUGAL,Liga 3,,,,
166,,,Sao Joao Ver,0,0,Braga B
167,,,Lusitania FC,-,-,Oliveirense
168,,,Oliveira Hospital,-,-,Real SC
169,ROMANIA,Liga 2,,,,
170,,,Petrolul,-,-,U. Cluj
171,SAUDI ARABIA,Division 1,,,,
172,,,Al Jabalain,0,0,Al Qadisiya
173,,,Al Khaleej,-,-,Bisha
174,,,Hajer,-,-,Al Wehda
175,,,Jeddah,-,-,Al Akhdoud
176,SCOTLAND,League One,,,,
177,,,Montrose,-,-,Airdrieonians
178,SCOTLAND,League Two,,,,
179,,,Elgin City,-,-,Kelty Hearts
180,SCOTLAND,Scottish Cup,,,,
181,,,Morton,-,-,Inverness
182,,,Queen of South,-,-,Cove Rangers
183,SERBIA,Super Liga,,,,
184,,,FK Vozdovac,1,1,Vojvodina
185,SLOVENIA,Prva liga,,,,
186,,,Bravo,0,0,Radomlje
187,SOUTH AFRICA,Premier League,,,,
188,,,TS Galaxy,-,-,Chippa Utd.
189,,,Cape Town City,-,-,Maritzburg Utd
190,SRI LANKA,Super League,,,,
191,,,Ratnam,1,2,Defenders FC
192,,,Blue Eagles,0,0,New Young's SC
193,TAIWAN,Mulan Football League Women,,,,
194,,,Kaohsiung W,-,-,Taoyuan W
195,UGANDA,Premier League,,,,
196,,,BUL,5,0,Busoga
197,,,Express,2,0,Mbarara City
198,,,Onduparaka FC,1,1,Wakiso Giants
199,,,Police,2,2,Gadaffi
200,,,Villa,2,2,URA SC
201,URUGUAY,Segunda Division - Play Offs,,,,
202,,,Defensor Sp.,3,0,Racing Montevideo
203,WORLD,Friendly International,,,,
204,,,Zambia U17,3,1,Malawi U17
205,,,Angola U17,-,-,Eswatini U17
206,,,Italy U17,-,-,France U17
207,WORLD,FIFA Arab Cup,,,,
208,,,Jordan,-,-,Palestine
209,,,Morocco,-,-,Saudi Arabia
210,,,Algeria,-,-,Egypt
211,,,Lebanon,-,-,Sudan
